Year,Neighborhood Tabulation Area NTA),Neighborhood Tabulation Area (NTA) Name,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Percentage,Weighted Score,Rank,Borough
2024,QN1102,Bayside,960883.685317714,0.13,0.04,0.14,5.38085010729115,77.0,Queens
2024,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,972425.891568834,0.24,0.06,0.11,5.41285658388738,74.0,Staten Island
2024,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,972975.134620079,0.09,0.04,0.17,4.94808569837201,114.0,Manhattan
2024,BX1104,Allerton,977120.459312459,0.16,0.11,0.18,6.23407709359095,27.0,Bronx
2024,MN0802,Upper East Side-Carnegie Hill,990925.483628192,0.18,0.05,0.11,4.88103803075606,120.0,Manhattan
2024,QN1101,Auburndale,1001619.13447766,0.13,0.05,0.18,5.04128859731886,107.0,Queens
2024,BK0103,South Williamsburg,1041816.43538328,0.14,0.09,0.08,6.16822447896195,28.0,Brooklyn
2024,MN0301,Chinatown-Two Bridges,1054961.03143734,0.17,0.12,0.18,6.39294550875037,18.0,Manhattan
2024,BX0702,Bedford Park,1061989.98245195,0.27,0.13,0.25,6.86790727856387,10.0,Bronx
2024,QN0104,Astoria (East)-Woodside (North),1071146.11767493,0.17,0.09,0.18,5.36892256834431,78.0,Queens
2024,BX0101,Mott Haven-Port Morris,1087952.13877023,0.31,0.13,0.15,7.1131806437916,5.0,Bronx
2024,BX0403,Mount Eden-Claremont (West),1141939.4982688,0.2,0.14,0.21,6.90190388237972,9.0,Bronx
2024,MN0703,Upper West Side-Manhattan Valley,1150652.80107621,0.15,0.07,0.14,6.02429537883773,32.0,Manhattan
2024,MN1002,Harlem (North),1168146.02075092,0.2,0.12,0.13,6.37183431971952,19.0,Manhattan
2024,QN0704,Murray Hill-Broadway Flushing,1170332.63539162,0.12,0.05,0.27,5.73574619624708,54.0,Queens
2024,QN0402,Corona,1176683.76710276,0.14,0.07,0.32,6.33320151636995,23.0,Queens
